Real,Imag
0.365446,0.882865
0.367848,0.897089
0.370381,0.911292
0.373046,0.925472
0.375839,0.939627
0.378761,0.953755
0.381809,0.967855
0.384981,0.981923
0.388277,0.995958
0.391693,1.00996
0.395229,1.02392
0.398882,1.03785
0.40265,1.05174
0.406533,1.06559
0.410526,1.0794
0.41463,1.09317
0.418842,1.1069
0.42316,1.12058
0.427583,1.13422
0.432109,1.14782
0.436736,1.16138
0.441463,1.17489
0.446289,1.18836
0.451213,1.20178
0.456233,1.21516
0.461348,1.2285
0.466558,1.24179
0.471861,1.25504
0.477258,1.26824
0.482747,1.28141
0.488328,1.29452
0.494001,1.3076
0.499766,1.32063
0.505621,1.33361
0.511568,1.34655
0.517606,1.35945
0.523735,1.3723
0.529955,1.3851
0.536266,1.39785
0.542668,1.41056
0.549161,1.42322
0.555745,1.43582
0.56242,1.44838
0.569185,1.46088
0.576042,1.47332
0.582988,1.48571
0.590024,1.49804
0.59715,1.51031
0.604364,1.52252
0.611665,1.53466
0.619053,1.54674
0.626527,1.55875
0.634085,1.57068
0.641726,1.58255
0.649448,1.59434
0.657249,1.60605
0.665128,1.61768
0.673082,1.62923
0.681109,1.6407
0.689207,1.65209
0.697372,1.66338
0.705602,1.67459
0.713895,1.68571
0.722247,1.69674
0.730655,1.70767
0.739116,1.71852
0.747627,1.72926
0.756185,1.73992
0.764785,1.75048
0.773426,1.76094
0.782103,1.7713
0.790812,1.78157
0.799552,1.79175
0.808318,1.80183
0.817108,1.81181
0.825918,1.8217
0.834745,1.8315
0.843586,1.8412
0.852438,1.85081
0.861299,1.86034
0.870166,1.86977
0.879037,1.87911
0.887909,1.88837
0.89678,1.89754
0.905648,1.90663
0.914511,1.91564
0.923367,1.92456
0.932215,1.9334
0.941054,1.94217
0.949881,1.95085
0.958696,1.95946
0.967497,1.96799
0.976283,1.97645
0.985052,1.98483
0.993805,1.99314
1.00254,2.00137
1.01126,2.00953
1.01995,2.01762
1.02862,2.02563
1.03728,2.03357
1.0459,2.04143
1.0545,2.04922
1.06308,2.05693
1.07163,2.06457
1.08014,2.07212
1.08863,2.0796
1.09708,2.087
1.1055,2.09431
1.11387,2.10154
1.12221,2.10869
1.1305,2.11575
1.13874,2.12273
1.14693,2.12961
1.15506,2.1364
1.16314,2.1431
1.17115,2.14971
1.1791,2.15623
1.18697,2.16264
1.19477,2.16896
1.20249,2.17519
1.21012,2.18131
1.21765,2.18733
1.22509,2.19326
1.23242,2.19908
1.23965,2.2048
1.24676,2.21043
1.25374,2.21595
1.2606,2.22137
1.26733,2.2267
1.27391,2.23192
1.28035,2.23705
1.28663,2.24208
1.29276,2.24702
1.29872,2.25186
1.30451,2.25661
1.31012,2.26127
1.31555,2.26584
1.32079,2.27032
1.32583,2.27472
1.33067,2.27904
1.33531,2.28327
1.33974,2.28743
1.34394,2.29151
1.34793,2.29551
1.35169,2.29943
1.35521,2.30328
1.3585,2.30706
1.36154,2.31077
1.36434,2.3144
1.36688,2.31797
1.36917,2.32146
1.37119,2.32488
1.37295,2.32824
1.37443,2.33151
1.37564,2.33472
1.37656,2.33785
1.37719,2.3409
1.37754,2.34387
1.37758,2.34675
1.37731,2.34955
1.37674,2.35226
1.37585,2.35487
1.37463,2.35738
1.37308,2.35979
1.37119,2.36209
1.36895,2.36426
1.36636,2.36632
1.3634,2.36824
1.36007,2.37002
1.35636,2.37165
1.35226,2.37313
1.34775,2.37444
1.34283,2.37558
1.33749,2.37654
1.33171,2.3773
1.32549,2.37785
1.3188,2.37818
1.31165,2.37829
1.30401,2.37816
1.29588,2.37777
1.28724,2.37711
1.27807,2.37618
1.26837,2.37494
1.25812,2.3734
1.24731,2.37153
1.23593,2.36932
1.22396,2.36675
1.21138,2.3638
1.1982,2.36046
1.18439,2.3567
1.16995,2.35251
1.15485,2.34786
1.1391,2.34274
1.12269,2.33711
1.1056,2.33096
1.08783,2.32426
1.06937,2.31699
1.05022,2.30911
1.03037,2.3006
1.00982,2.29143
0.988571,2.28157
0.966625,2.27098
0.943986,2.25963
0.920657,2.24749
0.896648,2.23451
0.871968,2.22066
0.846631,2.20591
0.820651,2.1902
0.794049,2.1735
0.766845,2.15576
0.739066,2.13695
0.710739,2.11701
0.681897,2.09591
0.652577,2.07358
0.622818,2.05
0.592665,2.02511
0.562167,1.99887
0.531377,1.97122
0.500352,1.94214
0.469154,1.91157
0.43785,1.87948
0.406511,1.84582
0.375213,1.81057
0.344035,1.77368
0.313062,1.73513
0.282383,1.6949
0.25209,1.65297
0.222278,1.60933
0.193048,1.56396
0.164499,1.51686
0.136738,1.46805
0.109868,1.41754
0.0839968,1.36535
0.0592312,1.3115
0.0356776,1.25604
0.0134411,1.19902
-0.00737523,1.1405
-0.0266714,1.08053
-0.0443512,1.0192
-0.0603234,0.956587
-0.0745024,0.892786
-0.0868091,0.827899
-0.0971718,0.762034
-0.105527,0.695305
-0.111821,0.627837
-0.116007,0.559756
-0.118052,0.491194
-0.117931,0.422287
-0.11563,0.353175
-0.111146,0.283995
-0.104488,0.214889
-0.095674,0.145997
-0.0847349,0.0774556
-0.0717105,0.00940006
-0.0566506,-0.0580388
-0.0396147,-0.124735
-0.0206706,-0.190568
0.000105884,-0.255424
0.022632,-0.319196
0.0468186,-0.381786
0.0725716,-0.443103
0.0997922,-0.503064
0.128379,-0.561597
0.158226,-0.618637
0.189229,-0.674129
0.221279,-0.728027
0.254271,-0.780292
