Real,Imag
-5.29422,15.6095
-3.3765,16.4683
-1.37069,17.1009
0.69668,17.4983
2.7982,17.655
4.90598,17.5684
6.99204,17.2394
9.02863,16.6718
10.9886,15.8727
12.8459,14.8525
14.5756,13.6241
16.1546,12.2036
17.5617,10.6093
18.778,8.86211
19.7871,6.98483
20.5752,5.00206
21.1315,2.93983
21.4483,0.825234
21.5211,-1.31389
21.3484,-3.44935
20.9322,-5.55297
20.2776,-7.59697
19.3929,-9.55431
18.2893,-11.3991
16.9812,-13.1068
15.4855,-14.6548
13.8217,-16.0225
12.0115,-17.1918
10.0787,-18.1468
8.04847,-18.875
5.94757,-19.3664
3.80359,-19.6143
1.64478,-19.6153
-0.500424,-19.3692
-2.60371,-18.8791
-4.63728,-18.1511
-6.57426,-17.1949
-8.38899,-16.0228
-10.0574,-14.6502
-11.5574,-13.0952
-12.869,-11.3781
-13.9747,-9.52173
-14.8598,-7.55048
-15.5124,-5.49042
-15.9237,-3.36881
-16.0881,-1.21375
-16.0033,0.946167
-15.6701,3.08228
-15.093,5.16619
-14.2793,7.17016
-13.2396,9.06748
-11.9876,10.8328
-10.5398,12.4426
-8.91516,13.8752
-7.13517,15.1114
-5.22335,16.1345
-3.20497,16.9307
-1.10679,17.489
1.04339,17.8018
3.21702,17.8644
5.3852,17.6758
7.51908,17.2381
9.59022,16.5567
11.571,15.6402
13.4349,14.5006
15.1571,13.1524
16.7143,11.6134
18.0856,9.90355
19.2525,8.04529
20.1992,6.06298
20.9128,3.98269
21.3833,1.8318
21.6041,-0.361346
21.5718,-2.56779
21.2864,-4.75838
20.7513,-6.90412
19.9731,-8.97658
18.9617,-10.9483
17.73,-12.793
16.2939,-14.4862
14.6721,-16.0053
12.8858,-17.3301
10.9581,-18.4427
8.91436,-19.3282
6.78133,-19.9746
4.58702,-20.3732
2.36026,-20.5184
0.130368,-20.4078
-2.07327,-20.0429
-4.22158,-19.428
-6.28618,-18.571
-8.23977,-17.4831
-10.0565,-16.1783
-11.7122,-14.6737
-13.185,-12.989
-14.4553,-11.1463
-15.5061,-9.1698
-16.3234,-7.08557
-16.8961,-4.92107
-17.2167,-2.70487
-17.2806,-0.466272
-17.0869,1.76509
-16.6378,3.95966
-15.9393,6.08832
-15.0003,8.12279
-13.8332,10.036
-12.4532,11.8025
-10.8786,13.3987
-9.13004,14.8032
-7.23063,15.9972
-5.20547,16.9646
-3.08136,17.6923
-0.886465,18.1705
